PAR,UMemNo
0,2319
84,2319
125,2319
191,2319
285,2319
403,2319
558,2319
908,2319
1317,2319
0,2328
84,2328
125,2328
191,2328
285,2328
403,2328
558,2328
908,2328
1317,2328
0,2337
84,2337
125,2337
191,2337
285,2337
403,2337
558,2337
908,2337
1317,2337
0,2346
84,2346
125,2346
191,2346
285,2346
403,2346
558,2346
908,2346
1317,2346
0,2355
84,2355
125,2355
191,2355
285,2355
403,2355
558,2355
908,2355
1317,2355
0,2364
84,2364
125,2364
191,2364
285,2364
403,2364
558,2364
908,2364
1317,2364
0,2373
84,2373
125,2373
191,2373
285,2373
403,2373
558,2373
908,2373
1317,2373
0,2382
84,2382
125,2382
191,2382
285,2382
403,2382
558,2382
908,2382
1317,2382
0,2391
84,2391
125,2391
191,2391
285,2391
403,2391
558,2391
908,2391
1317,2391
0,2400
84,2400
125,2400
191,2400
285,2400
403,2400
558,2400
908,2400
1317,2400
0,2409
84,2409
125,2409
191,2409
285,2409
403,2409
558,2409
908,2409
1317,2409
0,2418
84,2418
125,2418
191,2418
285,2418
403,2418
558,2418
908,2418
1317,2418
0,2436
84,2436
125,2436
191,2436
285,2436
403,2436
558,2436
908,2436
1317,2436
0,2445
84,2445
125,2445
191,2445
285,2445
403,2445
558,2445
908,2445
1317,2445
0,2454
84,2454
125,2454
191,2454
285,2454
403,2454
558,2454
908,2454
1317,2454
0,2463
84,2463
125,2463
191,2463
285,2463
403,2463
558,2463
908,2463
1317,2463
0,2472
84,2472
125,2472
191,2472
285,2472
403,2472
558,2472
908,2472
1317,2472
0,2481
84,2481
125,2481
191,2481
285,2481
403,2481
558,2481
908,2481
1317,2481
0,2490
84,2490
125,2490
191,2490
285,2490
403,2490
558,2490
908,2490
1317,2490
0,2499
84,2499
125,2499
191,2499
285,2499
403,2499
558,2499
908,2499
1317,2499
0,2508
84,2508
125,2508
191,2508
285,2508
403,2508
558,2508
908,2508
1317,2508
0,2517
84,2517
125,2517
191,2517
285,2517
403,2517
558,2517
908,2517
1317,2517
0,2526
84,2526
125,2526
191,2526
285,2526
403,2526
558,2526
908,2526
1317,2526
0,2535
84,2535
125,2535
191,2535
285,2535
403,2535
558,2535
908,2535
1317,2535
0,2544
84,2544
125,2544
191,2544
285,2544
403,2544
558,2544
908,2544
1317,2544
0,2553
84,2553
125,2553
191,2553
285,2553
403,2553
558,2553
908,2553
1317,2553
0,2562
84,2562
125,2562
191,2562
285,2562
403,2562
558,2562
908,2562
1317,2562
0,2571
84,2571
125,2571
191,2571
285,2571
403,2571
558,2571
908,2571
1317,2571
0,2580
84,2580
125,2580
191,2580
285,2580
403,2580
558,2580
908,2580
1317,2580
0,2589
84,2589
125,2589
191,2589
285,2589
403,2589
558,2589
908,2589
1317,2589
0,2598
84,2598
125,2598
191,2598
285,2598
403,2598
558,2598
908,2598
1317,2598
0,2607
84,2607
125,2607
191,2607
285,2607
403,2607
558,2607
908,2607
1317,2607
0,2616
84,2616
125,2616
191,2616
285,2616
403,2616
558,2616
908,2616
1317,2616
0,2625
84,2625
125,2625
191,2625
285,2625
403,2625
558,2625
908,2625
1317,2625
0,2635
84,2635
125,2635
191,2635
285,2635
403,2635
558,2635
908,2635
1317,2635
0,2644
84,2644
125,2644
191,2644
285,2644
403,2644
558,2644
908,2644
1317,2644
0,2653
84,2653
125,2653
191,2653
285,2653
403,2653
558,2653
908,2653
1317,2653
0,2662
84,2662
125,2662
191,2662
285,2662
403,2662
558,2662
908,2662
1317,2662
0,2671
84,2671
125,2671
191,2671
285,2671
403,2671
558,2671
908,2671
1317,2671
0,2680
84,2680
125,2680
191,2680
285,2680
403,2680
558,2680
908,2680
1317,2680
0,2689
84,2689
125,2689
191,2689
285,2689
403,2689
558,2689
908,2689
1317,2689
0,2698
84,2698
125,2698
191,2698
285,2698
403,2698
558,2698
908,2698
1317,2698
0,2707
84,2707
125,2707
191,2707
285,2707
403,2707
558,2707
908,2707
1317,2707
0,2716
84,2716
125,2716
191,2716
285,2716
403,2716
558,2716
908,2716
1317,2716
0,2725
84,2725
125,2725
191,2725
285,2725
403,2725
558,2725
908,2725
1317,2725
0,2734
84,2734
125,2734
191,2734
285,2734
403,2734
558,2734
908,2734
1317,2734
0,2743
84,2743
125,2743
191,2743
285,2743
403,2743
558,2743
908,2743
1317,2743
0,2752
84,2752
125,2752
191,2752
285,2752
403,2752
558,2752
908,2752
1317,2752
0,2761
84,2761
125,2761
191,2761
285,2761
403,2761
558,2761
908,2761
1317,2761
0,2770
84,2770
125,2770
191,2770
285,2770
403,2770
558,2770
908,2770
1317,2770
0,2779
84,2779
125,2779
191,2779
285,2779
403,2779
558,2779
908,2779
1317,2779
0,2788
84,2788
125,2788
191,2788
285,2788
403,2788
558,2788
908,2788
1317,2788
0,2797
84,2797
125,2797
191,2797
285,2797
403,2797
558,2797
908,2797
1317,2797
0,2806
84,2806
125,2806
191,2806
285,2806
403,2806
558,2806
908,2806
1317,2806
0,2815
84,2815
125,2815
191,2815
285,2815
403,2815
558,2815
908,2815
1317,2815
0,2824
84,2824
125,2824
191,2824
285,2824
403,2824
558,2824
908,2824
1317,2824
0,2833
84,2833
125,2833
191,2833
285,2833
403,2833
558,2833
908,2833
1317,2833
0,2842
84,2842
125,2842
191,2842
285,2842
403,2842
558,2842
908,2842
1317,2842
0,2851
84,2851
125,2851
191,2851
285,2851
403,2851
558,2851
908,2851
1317,2851
0,2860
84,2860
125,2860
191,2860
285,2860
403,2860
558,2860
908,2860
1317,2860
0,2869
84,2869
125,2869
191,2869
285,2869
403,2869
558,2869
908,2869
1317,2869
0,2878
84,2878
125,2878
191,2878
285,2878
403,2878
558,2878
908,2878
1317,2878
0,2887
84,2887
125,2887
191,2887
285,2887
403,2887
558,2887
908,2887
1317,2887
0,2896
84,2896
125,2896
191,2896
285,2896
403,2896
558,2896
908,2896
1317,2896
0,2905
84,2905
125,2905
191,2905
285,2905
403,2905
558,2905
908,2905
1317,2905
0,2914
84,2914
125,2914
191,2914
285,2914
403,2914
558,2914
908,2914
1317,2914
0,2923
84,2923
125,2923
191,2923
285,2923
403,2923
558,2923
908,2923
1317,2923
0,2932
84,2932
125,2932
191,2932
285,2932
403,2932
558,2932
908,2932
1317,2932
0,2941
84,2941
125,2941
191,2941
285,2941
403,2941
558,2941
908,2941
1317,2941
