"2014-04-01";"23:26:02";"WinControl (rev 714) report file"
"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"";"";"D";"";"Device Nr: #1: Pam-Control ";""
"2014-04-01";"19:04:47";"SCHS";"";"Chart Start ";""
"2014-04-01";"19:04:47";"FO";"2319";"568";"546";"0";"-";"-"
"2014-04-01";"19:04:55";"F";"2320";"191";"224";"0";"0.147";"0.0"
"2014-04-01";"19:05:05";"F";"2321";"189";"216";"0";"0.125";"0.0"
"2014-04-01";"19:05:16";"F";"2322";"195";"219";"0";"0.110";"0.0"
"2014-04-01";"19:05:25";"F";"2323";"191";"207";"0";"0.077";"0.0"
"2014-04-01";"19:05:35";"F";"2324";"186";"195";"0";"0.046";"0.0"
"2014-04-01";"19:05:45";"F";"2325";"181";"192";"0";"0.057";"0.0"
"2014-04-01";"19:05:55";"F";"2326";"185";"188";"0";"0.016";"0.0"
"2014-04-01";"19:06:05";"F";"2327";"187";"188";"0";"0.005";"0.0"
"2014-04-01";"19:06:36";"FO";"2328";"590";"602";"0";"0.020";"0.0"
"2014-04-01";"19:06:45";"F";"2329";"195";"236";"0";"0.174";"0.0"
"2014-04-01";"19:06:56";"F";"2330";"202";"231";"0";"0.126";"0.0"
"2014-04-01";"19:07:05";"F";"2331";"205";"232";"0";"0.116";"0.0"
"2014-04-01";"19:07:15";"F";"2332";"203";"224";"0";"0.094";"0.0"
"2014-04-01";"19:07:25";"F";"2333";"196";"212";"0";"0.075";"0.0"
"2014-04-01";"19:07:35";"F";"2334";"199";"206";"0";"0.034";"0.0"
"2014-04-01";"19:07:45";"F";"2335";"196";"200";"0";"0.020";"0.0"
"2014-04-01";"19:07:55";"F";"2336";"191";"191";"0";"0.000";"0.0"
"2014-04-01";"19:09:11";"FO";"2337";"724";"740";"0";"0.022";"0.0"
"2014-04-01";"19:09:21";"F";"2338";"590";"705";"0";"0.163";"0.0"
"2014-04-01";"19:09:31";"F";"2339";"569";"637";"0";"0.107";"0.0"
"2014-04-01";"19:09:42";"F";"2340";"551";"606";"0";"0.091";"0.0"
"2014-04-01";"19:09:52";"F";"2341";"540";"580";"0";"0.069";"0.0"
"2014-04-01";"19:10:01";"F";"2342";"521";"551";"0";"0.054";"0.0"
"2014-04-01";"19:10:11";"F";"2343";"494";"528";"0";"0.064";"0.0"
"2014-04-01";"19:10:21";"F";"2344";"497";"501";"0";"0.008";"0.0"
"2014-04-01";"19:10:32";"F";"2345";"473";"479";"0";"0.013";"0.0"
"2014-04-01";"19:11:09";"FO";"2346";"504";"523";"0";"0.036";"0.0"
"2014-04-01";"19:11:19";"F";"2347";"266";"312";"0";"0.147";"0.0"
"2014-04-01";"19:11:28";"F";"2348";"269";"310";"0";"0.132";"0.0"
"2014-04-01";"19:11:38";"F";"2349";"277";"310";"0";"0.106";"0.0"
"2014-04-01";"19:11:48";"F";"2350";"279";"305";"0";"0.085";"0.0"
"2014-04-01";"19:11:59";"F";"2351";"278";"297";"0";"0.064";"0.0"
"2014-04-01";"19:12:09";"F";"2352";"278";"290";"0";"0.041";"0.0"
"2014-04-01";"19:12:18";"F";"2353";"272";"275";"0";"0.011";"0.0"
"2014-04-01";"19:12:28";"F";"2354";"266";"265";"0";"-";"-"
"2014-04-01";"19:13:18";"FO";"2355";"588";"593";"0";"0.008";"0.0"
"2014-04-01";"19:13:28";"F";"2356";"376";"452";"0";"0.168";"0.0"
"2014-04-01";"19:13:37";"F";"2357";"396";"459";"0";"0.137";"0.0"
"2014-04-01";"19:13:47";"F";"2358";"376";"427";"0";"0.119";"0.0"
"2014-04-01";"19:13:57";"F";"2359";"374";"407";"0";"0.081";"0.0"
"2014-04-01";"19:14:07";"F";"2360";"369";"395";"0";"0.066";"0.0"
"2014-04-01";"19:14:17";"F";"2361";"371";"392";"0";"0.054";"0.0"
"2014-04-01";"19:14:27";"F";"2362";"360";"371";"0";"0.030";"0.0"
"2014-04-01";"19:14:38";"F";"2363";"341";"346";"0";"0.014";"0.0"
"2014-04-01";"19:18:35";"FO";"2364";"565";"560";"0";"-";"-"
"2014-04-01";"19:18:44";"F";"2365";"413";"469";"0";"0.119";"0.0"
"2014-04-01";"19:18:54";"F";"2366";"390";"433";"0";"0.099";"0.0"
"2014-04-01";"19:19:04";"F";"2367";"385";"420";"0";"0.083";"0.0"
"2014-04-01";"19:19:14";"F";"2368";"375";"402";"0";"0.067";"0.0"
"2014-04-01";"19:19:24";"F";"2369";"370";"389";"0";"0.049";"0.0"
"2014-04-01";"19:19:34";"F";"2370";"366";"379";"0";"0.034";"0.0"
"2014-04-01";"19:19:44";"F";"2371";"357";"369";"0";"0.033";"0.0"
"2014-04-01";"19:19:54";"F";"2372";"351";"353";"0";"0.006";"0.0"
"2014-04-01";"19:20:50";"FO";"2373";"417";"418";"0";"0.002";"0.0"
"2014-04-01";"19:21:00";"F";"2374";"296";"313";"0";"0.054";"0.0"
"2014-04-01";"19:21:10";"F";"2375";"271";"285";"0";"0.049";"0.0"
"2014-04-01";"19:21:19";"F";"2376";"268";"280";"0";"0.043";"0.0"
"2014-04-01";"19:21:30";"F";"2377";"257";"271";"0";"0.052";"0.0"
"2014-04-01";"19:21:40";"F";"2378";"261";"263";"0";"0.008";"0.0"
"2014-04-01";"19:21:50";"F";"2379";"251";"251";"0";"0.000";"0.0"
"2014-04-01";"19:22:00";"F";"2380";"239";"239";"0";"0.000";"0.0"
"2014-04-01";"19:22:09";"F";"2381";"231";"230";"0";"-";"-"
"2014-04-01";"19:22:47";"FO";"2382";"503";"499";"0";"-";"-"
"2014-04-01";"19:22:58";"F";"2383";"357";"433";"0";"0.176";"0.0"
"2014-04-01";"19:23:08";"F";"2384";"338";"393";"0";"0.140";"0.0"
"2014-04-01";"19:23:17";"F";"2385";"328";"372";"0";"0.118";"0.0"
"2014-04-01";"19:23:27";"F";"2386";"318";"348";"0";"0.086";"0.0"
"2014-04-01";"19:23:37";"F";"2387";"295";"317";"0";"0.069";"0.0"
"2014-04-01";"19:23:48";"F";"2388";"289";"301";"0";"0.040";"0.0"
"2014-04-01";"19:23:58";"F";"2389";"278";"288";"0";"0.035";"0.0"
"2014-04-01";"19:24:07";"F";"2390";"279";"279";"0";"0.000";"0.0"
"2014-04-01";"19:25:12";"FO";"2391";"490";"494";"0";"0.008";"0.0"
"2014-04-01";"19:25:21";"F";"2392";"264";"324";"0";"0.185";"0.0"
"2014-04-01";"19:25:31";"F";"2393";"258";"302";"0";"0.146";"0.0"
"2014-04-01";"19:25:41";"F";"2394";"244";"275";"0";"0.113";"0.0"
"2014-04-01";"19:25:52";"F";"2395";"235";"259";"0";"0.093";"0.0"
"2014-04-01";"19:26:02";"F";"2396";"237";"253";"0";"0.063";"0.0"
"2014-04-01";"19:26:11";"F";"2397";"235";"244";"0";"0.037";"0.0"
"2014-04-01";"19:26:21";"F";"2398";"224";"228";"0";"0.018";"0.0"
"2014-04-01";"19:26:31";"F";"2399";"218";"221";"0";"0.014";"0.0"
"2014-04-01";"19:27:06";"FO";"2400";"531";"529";"0";"-";"-"
"2014-04-01";"19:27:16";"F";"2401";"414";"502";"0";"0.175";"0.0"
"2014-04-01";"19:27:26";"F";"2402";"418";"494";"0";"0.154";"0.0"
"2014-04-01";"19:27:36";"F";"2403";"425";"479";"0";"0.113";"0.0"
"2014-04-01";"19:27:46";"F";"2404";"408";"450";"0";"0.093";"0.0"
"2014-04-01";"19:27:56";"F";"2405";"393";"425";"0";"0.075";"0.0"
"2014-04-01";"19:28:06";"F";"2406";"399";"417";"0";"0.043";"0.0"
"2014-04-01";"19:28:16";"F";"2407";"370";"384";"0";"0.036";"0.0"
"2014-04-01";"19:28:26";"F";"2408";"361";"362";"0";"0.003";"0.0"
"2014-04-01";"19:29:41";"FO";"2409";"548";"641";"0";"0.145";"0.0"
"2014-04-01";"19:29:51";"F";"2410";"499";"595";"0";"0.161";"0.0"
"2014-04-01";"19:30:01";"F";"2411";"489";"561";"0";"0.128";"0.0"
"2014-04-01";"19:30:11";"F";"2412";"457";"504";"0";"0.093";"0.0"
"2014-04-01";"19:30:21";"F";"2413";"431";"466";"0";"0.075";"0.0"
"2014-04-01";"19:30:30";"F";"2414";"403";"431";"0";"0.065";"0.0"
"2014-04-01";"19:30:41";"F";"2415";"391";"405";"0";"0.035";"0.0"
"2014-04-01";"19:30:51";"F";"2416";"363";"375";"0";"0.032";"0.0"
"2014-04-01";"19:31:01";"F";"2417";"355";"354";"0";"-";"-"
"2014-04-01";"19:31:33";"FO";"2418";"546";"590";"0";"0.075";"0.0"
"2014-04-01";"19:31:43";"F";"2419";"470";"548";"0";"0.142";"0.0"
"2014-04-01";"19:31:53";"F";"2420";"449";"501";"0";"0.104";"0.0"
"2014-04-01";"19:32:03";"F";"2421";"404";"448";"0";"0.098";"0.0"
"2014-04-01";"19:32:13";"F";"2422";"384";"412";"0";"0.068";"0.0"
"2014-04-01";"19:32:23";"F";"2423";"372";"388";"0";"0.041";"0.0"
"2014-04-01";"19:32:33";"F";"2424";"341";"357";"0";"0.045";"0.0"
"2014-04-01";"19:32:43";"F";"2425";"332";"329";"0";"-";"-"
"2014-04-01";"19:32:53";"F";"2426";"304";"308";"0";"0.013";"0.0"
"2014-04-01";"19:33:24";"FO";"2427";"630";"689";"0";"0.086";"0.0"
"2014-04-01";"19:33:33";"F";"2428";"575";"642";"0";"0.104";"0.0"
"2014-04-01";"19:33:44";"F";"2429";"547";"602";"0";"0.091";"0.0"
"2014-04-01";"19:33:54";"F";"2430";"537";"596";"0";"0.099";"0.0"
"2014-04-01";"19:34:04";"F";"2431";"525";"553";"0";"0.051";"0.0"
"2014-04-01";"19:34:14";"F";"2432";"464";"484";"0";"0.041";"0.0"
"2014-04-01";"19:34:23";"F";"2433";"439";"449";"0";"0.022";"0.0"
"2014-04-01";"19:34:34";"F";"2434";"421";"422";"0";"0.002";"0.0"
"2014-04-01";"19:34:44";"F";"2435";"386";"386";"0";"0.000";"0.0"
"2014-04-01";"19:35:12";"FO";"2436";"459";"461";"0";"0.004";"0.0"
"2014-04-01";"19:35:21";"F";"2437";"362";"398";"0";"0.090";"0.0"
"2014-04-01";"19:35:32";"F";"2438";"346";"375";"0";"0.077";"0.0"
"2014-04-01";"19:35:41";"F";"2439";"327";"347";"0";"0.058";"0.0"
"2014-04-01";"19:35:51";"F";"2440";"317";"332";"0";"0.045";"0.0"
"2014-04-01";"19:36:02";"F";"2441";"300";"309";"0";"0.029";"0.0"
"2014-04-01";"19:36:12";"F";"2442";"287";"292";"0";"0.017";"0.0"
"2014-04-01";"19:36:21";"F";"2443";"267";"269";"0";"0.007";"0.0"
"2014-04-01";"19:36:31";"F";"2444";"255";"253";"0";"-";"-"
"2014-04-01";"19:37:26";"FO";"2445";"480";"489";"0";"0.018";"0.0"
"2014-04-01";"19:37:35";"F";"2446";"383";"438";"0";"0.126";"0.0"
"2014-04-01";"19:37:45";"F";"2447";"369";"415";"0";"0.111";"0.0"
"2014-04-01";"19:37:55";"F";"2448";"352";"378";"0";"0.069";"0.0"
"2014-04-01";"19:38:06";"F";"2449";"318";"335";"0";"0.051";"0.0"
"2014-04-01";"19:38:16";"F";"2450";"295";"307";"0";"0.039";"0.0"
"2014-04-01";"19:38:25";"F";"2451";"279";"282";"0";"0.011";"0.0"
"2014-04-01";"19:38:35";"F";"2452";"268";"268";"0";"0.000";"0.0"
"2014-04-01";"19:38:45";"F";"2453";"252";"252";"0";"0.000";"0.0"
"2014-04-01";"19:39:13";"FO";"2454";"497";"558";"0";"0.109";"0.0"
"2014-04-01";"19:39:22";"F";"2455";"412";"475";"0";"0.133";"0.0"
"2014-04-01";"19:39:32";"F";"2456";"382";"432";"0";"0.116";"0.0"
"2014-04-01";"19:39:43";"F";"2457";"356";"393";"0";"0.094";"0.0"
"2014-04-01";"19:39:52";"F";"2458";"319";"329";"0";"0.030";"0.0"
"2014-04-01";"19:40:02";"F";"2459";"295";"303";"0";"0.026";"0.0"
"2014-04-01";"19:40:12";"F";"2460";"277";"277";"0";"0.000";"0.0"
"2014-04-01";"19:40:22";"F";"2461";"259";"258";"0";"-";"-"
"2014-04-01";"19:40:33";"F";"2462";"240";"239";"0";"-";"-"
"2014-04-01";"19:41:08";"FO";"2463";"502";"553";"0";"0.092";"0.0"
"2014-04-01";"19:41:18";"F";"2464";"425";"498";"0";"0.147";"0.0"
"2014-04-01";"19:41:27";"F";"2465";"426";"465";"0";"0.084";"0.0"
"2014-04-01";"19:41:38";"F";"2466";"372";"403";"0";"0.077";"0.0"
"2014-04-01";"19:41:48";"F";"2467";"341";"362";"0";"0.058";"0.0"
"2014-04-01";"19:41:58";"F";"2468";"323";"327";"0";"0.012";"0.0"
"2014-04-01";"19:42:08";"F";"2469";"296";"298";"0";"0.007";"0.0"
"2014-04-01";"19:42:17";"F";"2470";"284";"284";"0";"0.000";"0.0"
"2014-04-01";"19:42:28";"F";"2471";"262";"261";"0";"-";"-"
"2014-04-01";"19:43:12";"FO";"2472";"601";"611";"0";"0.016";"0.0"
"2014-04-01";"19:43:22";"F";"2473";"505";"576";"0";"0.123";"0.0"
"2014-04-01";"19:43:32";"F";"2474";"467";"520";"0";"0.102";"0.0"
"2014-04-01";"19:43:43";"F";"2475";"429";"462";"0";"0.071";"0.0"
"2014-04-01";"19:43:53";"F";"2476";"406";"422";"0";"0.038";"0.0"
"2014-04-01";"19:44:02";"F";"2477";"366";"377";"0";"0.029";"0.0"
"2014-04-01";"19:44:12";"F";"2478";"335";"347";"0";"0.035";"0.0"
"2014-04-01";"19:44:24";"F";"2479";"330";"331";"0";"0.003";"0.0"
"2014-04-01";"19:44:33";"F";"2480";"302";"302";"0";"0.000";"0.0"
"2014-04-01";"19:45:03";"FO";"2481";"531";"567";"0";"0.063";"0.0"
"2014-04-01";"19:45:14";"F";"2482";"453";"527";"0";"0.140";"0.0"
"2014-04-01";"19:45:23";"F";"2483";"428";"475";"0";"0.099";"0.0"
"2014-04-01";"19:45:33";"F";"2484";"387";"418";"0";"0.074";"0.0"
"2014-04-01";"19:45:43";"F";"2485";"359";"370";"0";"0.030";"0.0"
