Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Y (II),1:ETR
,,D,,"Device Nr: #1, Diving-PAM ",,,,
22/05/13,12:42:18,C,,MI=6;SI=8;SW=0.8;AI=3;AW=0:05;AF=1.00;G=7;D=1;EF=0.84;FO=20;CW=30:00;CI=2;LW=0:10;LI=3;ID=0:05;IW=0:10;DO0.0;DG1.00;LO=0;LG=0.80 ,,,,
22/05/13,12:42:18,SLCS,,Light Curve start ,,,,
22/05/13,12:42:19,FO,1471,145,585,0,0.752,0
22/05/13,12:42:27,SCHS,,Chart Start ,,,,
22/05/13,12:42:28,F,1472,462,584,70,0.209,6.1
22/05/13,12:42:38,F,1473,503,574,108,0.124,5.6
22/05/13,12:42:48,F,1474,522,566,160,0.078,5.2
22/05/13,12:42:57,F,1475,528,560,218,0.057,5.2
22/05/13,12:43:07,F,1476,532,554,318,0.04,5.3
22/05/13,12:43:17,F,1477,533,546,427,0.024,4.3
22/05/13,12:43:27,F,1478,531,539,631,0.015,4
22/05/13,12:43:37,F,1479,525,526,901,0.002,0.8
22/05/13,12:44:49,SLCS,,Light Curve start ,,,,
22/05/13,12:44:49,REG1,,#1: Error: Not enough measures for calculating the curve ,,,,
22/05/13,12:44:49,REG2,,#1: Error: Not enough measures for calculating the curve ,,,,
22/05/13,12:44:50,FO,1480,11,74,0,0.851,0
22/05/13,12:44:50,SLCE,,Light Curve end ,,,,
22/05/13,12:45:17,SLCS,,Light Curve start ,,,,
22/05/13,12:45:17,REG1,,#1: Error: First 3 ETR-Values are not increasing ,,,,
22/05/13,12:45:17,REG2,,#1: Error: First 3 ETR-Values are not increasing ,,,,
22/05/13,12:45:18,FO,1481,141,599,0,0.765,0
22/05/13,12:45:27,F,1482,411,595,70,0.309,9.1
22/05/13,12:45:37,F,1483,485,585,108,0.171,7.8
22/05/13,12:45:47,F,1484,513,577,160,0.111,7.5
22/05/13,12:45:57,F,1485,525,570,218,0.079,7.2
22/05/13,12:46:06,F,1486,532,561,318,0.052,6.9
22/05/13,12:46:16,F,1487,534,554,427,0.036,6.5
22/05/13,12:46:26,F,1488,534,544,631,0.018,4.8
22/05/13,12:46:36,F,1489,528,534,901,0.011,4.2
22/05/13,12:46:36,SLCE,,Light Curve end ,,,,
22/05/13,12:48:35,SLCS,,Light Curve start ,,,,
22/05/13,12:48:35,REG1,,#1: Error: First 3 ETR-Values are not increasing ,,,,
22/05/13,12:48:35,REG2,,#1: Error: First 3 ETR-Values are not increasing ,,,,
22/05/13,12:48:36,FO,1490,157,684,0,0.77,0
22/05/13,12:48:46,F,1491,470,688,70,0.317,9.3
22/05/13,12:48:56,F,1492,544,676,108,0.195,8.8
22/05/13,12:49:06,F,1493,577,667,160,0.135,9.1
22/05/13,12:49:16,F,1494,593,659,218,0.1,9.2
22/05/13,12:49:16,SLCE,,Light Curve end ,,,,
22/05/13,12:49:48,C,,MI=6;SI=8;SW=0.8;AI=3;AW=0:05;AF=1.00;G=7;D=1;EF=0.84;FO=20;CW=30:00;CI=2;LW=0:10;LI=4;ID=0:05;IW=0:10;DO0.0;DG1.00;LO=0;LG=0.80 ,,,,
22/05/13,12:49:48,SLCS,,Light Curve start ,,,,
22/05/13,12:49:48,REG1,,#1: Error: First 3 ETR-Values are not increasing ,,,,
