Date,Time,IDX,MemNo,F,Fm,PAR,Yield,ETR,newETR
15/04/14,13:39:31,FO,3635,403,562,0,0.283,0,0
15/04/14,13:39:40,F,3636,393,491,105,0.2,8.8,21
15/04/14,13:39:50,F,3637,327,386,162,0.153,10.4,24.786
15/04/14,13:40:00,F,3638,284,320,242,0.113,11.5,27.346
15/04/14,13:40:09,F,3639,246,269,346,0.086,12.5,29.756
15/04/14,13:40:20,F,3640,220,239,484,0.079,16.1,38.236
15/04/14,13:40:30,F,3641,205,215,632,0.047,12.5,29.704
15/04/14,13:40:40,F,3642,192,200,980,0.04,16.5,39.2
15/04/14,13:40:51,F,3643,184,188,1351,0.021,11.9,28.371
15/04/14,13:41:17,FO,3644,464,632,0,0.266,0,0
15/04/14,13:41:27,F,3645,444,543,105,0.182,8,19.11
15/04/14,13:41:38,F,3646,394,463,162,0.149,10.1,24.138
15/04/14,13:41:48,F,3647,346,397,242,0.128,13,30.976
15/04/14,13:41:58,F,3648,301,333,346,0.096,14,33.216
15/04/14,13:42:08,F,3649,282,303,484,0.069,14,33.396
15/04/14,13:42:18,F,3650,259,274,632,0.055,14.6,34.76
15/04/14,13:42:28,F,3651,243,253,980,0.04,16.5,39.2
15/04/14,13:42:39,F,3652,233,238,1351,0.021,11.9,28.371
15/04/14,13:43:07,FO,3653,395,519,0,0.239,0,0
15/04/14,13:43:17,F,3654,377,461,105,0.182,8,19.11
15/04/14,13:43:27,F,3655,340,393,162,0.135,9.2,21.87
15/04/14,13:43:37,F,3656,294,332,242,0.114,11.6,27.588
15/04/14,13:43:47,F,3657,273,301,346,0.093,13.5,32.178
15/04/14,13:43:57,F,3658,228,243,484,0.062,12.6,30.008
15/04/14,13:44:08,F,3659,213,224,632,0.049,13,30.968
15/04/14,13:44:18,F,3660,203,205,980,0.01,4.1,9.8
15/04/14,13:44:28,F,3661,189,189,1351,0,0,0
15/04/14,13:45:02,FO,3662,621,685,0,0.093,0,0
15/04/14,13:45:13,F,3663,519,585,105,0.113,5,11.865
15/04/14,13:45:23,F,3664,462,512,162,0.098,6.7,15.876
15/04/14,13:45:32,F,3665,408,442,242,0.077,7.8,18.634
15/04/14,13:45:42,F,3666,371,395,346,0.061,8.9,21.106
15/04/14,13:45:54,F,3667,341,359,484,0.05,10.2,24.2
15/04/14,13:46:03,F,3668,330,343,632,0.038,10.1,24.016
15/04/14,13:46:13,F,3669,314,322,980,0.025,10.3,24.5
15/04/14,13:46:23,F,3670,306,306,1351,0,0,0
15/04/14,13:47:03,FO,3671,348,363,0,0.041,0,0
15/04/14,13:47:12,F,3672,273,309,105,0.117,5.2,12.285
15/04/14,13:47:22,F,3673,248,275,162,0.098,6.7,15.876
15/04/14,13:47:34,F,3674,234,252,242,0.071,7.2,17.182
15/04/14,13:47:43,F,3675,207,224,346,0.076,11,26.296
15/04/14,13:47:53,F,3676,196,206,484,0.049,10,23.716
15/04/14,13:48:03,F,3677,182,192,632,0.052,13.8,32.864
15/04/14,13:48:14,F,3678,182,187,980,0.027,11.1,26.46
15/04/14,13:48:24,F,3679,171,175,1351,0.023,13.1,31.073
15/04/14,13:49:19,FO,3680,175,193,0,0.093,0,0
15/04/14,13:49:29,F,3681,179,195,105,0.082,3.6,8.61
15/04/14,13:49:39,F,3682,172,187,162,0.08,5.4,12.96
15/04/14,13:49:50,F,3683,170,184,242,0.076,7.7,18.392
15/04/14,13:50:00,F,3684,163,170,346,0.041,6,14.186
15/04/14,13:50:10,F,3685,154,160,484,0.038,7.7,18.392
15/04/14,13:50:20,F,3686,159,165,632,0.036,9.6,22.752
15/04/14,13:50:30,F,3687,149,151,980,0.013,5.4,12.74
15/04/14,13:50:40,F,3688,146,146,1351,0,0,0
