"2014-02-03";"13:00:40";"WinControl (rev 714) report file"
"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Temp";"1:Y (II)";"1:ETR";"1:Fo'";"1:Depth";"1:qP";"1:qN";"1:NPQ"
"";"";"D";"";"Device Nr: #1, Diving-PAM ";""
"2013-09-03";"12:11:37";"C";"";"MI=6;SI=8;SW=0.8;AI=3;AW=0:50;AF=1.00;G=7;D=1;EF=0.84;FO=0;CW=0:30;CI=1;LW=0:10;LI=3;ID=0:50;IW=0:10;DO0.0;DG1.00;LO=0;LG=0.80 ";""
"2013-09-03";"12:11:37";"SCHS";"";"Chart Start ";""
"2013-09-03";"12:11:38";"F";"1";"24";"34";"1";"19.0";"-";"-";"-";"- 1.0";"-";"-";"-"
"2013-09-03";"12:11:41";"F";"2";"31";"29";"1";"19.0";"-";"-";"-";"- 1.0";"-";"-";"-"
"2013-09-03";"12:11:43";"F";"3";"34";"28";"1";"19.0";"-";"-";"-";"- 1.0";"-";"-";"-"
"2013-09-03";"12:11:45";"F";"4";"15";"26";"1";"19.0";"-";"-";"-";"- 1.0";"-";"-";"-"
"2013-09-05";"11:09:22";"C";"";"MI=6;SI=8;SW=0.8;AI=3;AW=0:50;AF=1.00;G=2;D=1;EF=0.84;FO=6;CW=0:30;CI=1;LW=0:10;LI=3;ID=0:50;IW=0:10;DO0.0;DG1.00;LO=0;LG=0.80 ";""
"2013-09-05";"11:09:22";"SLCS";"";"Light Curve start ";""
"2013-09-05";"11:09:22";"REG1";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2013-09-05";"11:09:22";"REG2";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2013-09-05";"11:09:23";"FO";"6";"184";"858";"0";"13.0";"0.786";"0.0";"-";"- 4.6";"-";"-";"-"
"2013-09-05";"11:09:32";"F";"7";"743";"856";"38";"13.0";"0.132";"2.1";"~184";"- 4.6";"0.168";"0.003";"0.002"
"2013-09-05";"11:09:42";"F";"8";"789";"834";"58";"13.0";"0.054";"1.3";"~183";"- 4.6";"0.069";"0.034";"0.029"
"2013-09-05";"11:09:52";"F";"9";"795";"822";"86";"13.0";"0.033";"1.2";"~182";"- 4.6";"0.042";"0.050";"0.044"
"2013-09-05";"11:10:02";"F";"10";"788";"804";"117";"13.0";"0.020";"1.0";"~181";"- 4.6";"0.026";"0.076";"0.067"
"2013-09-05";"11:10:11";"F";"11";"779";"791";"170";"13.0";"0.015";"1.1";"~181";"- 4.6";"0.020";"0.095";"0.085"
"2013-09-05";"11:10:21";"F";"12";"768";"769";"228";"13.0";"0.001";"0.1";"~180";"- 4.6";"0.002";"0.126";"0.116"
"2013-09-05";"11:10:31";"F";"13";"748";"746";"337";"13.0";"-";"-";"-";"- 4.6";"-";"-";"-"
"2013-09-05";"11:10:41";"F";"14";"720";"719";"481";"13.0";"-";"-";"-";"- 4.5";"-";"-";"-"
"2013-09-05";"11:10:41";"SLCE";"";"Light Curve end ";""
"2013-09-05";"11:13:24";"C";"";"MI=6;SI=8;SW=0.8;AI=3;AW=0:50;AF=1.00;G=2;D=1;EF=0.84;FO=6;CW=0:30;CI=1;LW=0:10;LI=2;ID=0:50;IW=0:10;DO0.0;DG1.00;LO=0;LG=0.80 ";""
"2013-09-05";"11:13:24";"SLCS";"";"Light Curve start ";""
"2013-09-05";"11:13:24";"REG1";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2013-09-05";"11:13:24";"REG2";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2013-09-05";"11:13:25";"FO";"16";"212";"872";"0";"13.0";"0.757";"0.0";"-";"- 4.6";"-";"-";"-"
"2013-09-05";"11:13:35";"F";"17";"562";"890";"19";"13.0";"0.369";"2.9";"~213";"- 4.6";"0.484";"- 0.026";"- 0.020"
"2013-09-05";"11:13:45";"F";"18";"730";"875";"38";"13.0";"0.166";"2.6";"~212";"- 4.6";"0.219";"- 0.005";"- 0.003"
"2013-09-05";"11:13:54";"F";"19";"778";"859";"58";"13.0";"0.094";"2.3";"~211";"- 4.6";"0.125";"0.018";"0.015"
"2013-09-05";"11:14:04";"F";"20";"795";"842";"86";"13.0";"0.056";"2.0";"~210";"- 4.6";"0.074";"0.042";"0.036"
"2013-09-05";"11:14:14";"F";"21";"795";"826";"117";"13.0";"0.038";"1.9";"~209";"- 4.6";"0.050";"0.065";"0.056"
"2013-09-05";"11:14:24";"F";"22";"794";"807";"170";"13.0";"0.016";"1.1";"~208";"- 4.6";"0.022";"0.092";"0.081"
