"2014-06-05";"14:15:53";"WinControl (rev 714) report file"
"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:qP";"1:qN";"1:qL";"1:NPQ";"1:Y (NO)";"1:Y (NPQ)"
"";"";"D";"";"Device Nr: #1, Diving-PAM ";""
"2014-03-27";"18:00:58";"SCHS";"";"Chart Start ";""
"2014-03-27";"18:00:59";"F";"2405";"1604";"1607";"55";"0.002";"0.0";"-";"-";"-";"-";"-";"-"
"2014-03-27";"18:01:09";"F";"2406";"1663";"1668";"82";"0.003";"0.1";"-";"-";"-";"-";"-";"-"
"2014-03-27";"18:01:19";"F";"2407";"1659";"1658";"110";"-";"-";"-";"-";"-";"-";"-";"-"
"2014-03-27";"18:01:29";"F";"2408";"1610";"1608";"165";"-";"-";"-";"-";"-";"-";"-";"-"
"2014-05-31";"08:22:01";"C";"";"MI=5;SI=8;SW=0.8;AI=4;AW=0:50;AF=1.00;G=6;D=1;EF=0.84;FO=21;CW=0:30;CI=1;LW=0:10;LI=2;ID=0:50;IW=0:10;DO0.0;DG1.00;LO=0;LG=0.80 ";""
"2014-05-31";"08:22:02";"F";"2410";"5";"7";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"2014-05-31";"13:22:28";"C";"";"MI=5;SI=8;SW=0.8;AI=4;AW=0:50;AF=1.00;G=6;D=1;EF=0.84;FO=25;CW=0:30;CI=1;LW=0:10;LI=2;ID=0:50;IW=0:10;DO0.0;DG1.00;LO=0;LG=0.80 ";""
"2014-05-31";"13:22:28";"SLCS";"";"Light Curve start ";""
"2014-05-31";"13:22:28";"REG1";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2014-05-31";"13:22:28";"REG2";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2014-05-31";"13:22:29";"FO";"2412";"462";"1789";"0";"0.742";"0.0";"-";"-";"-";"-";"-";"-"
"2014-05-31";"13:22:39";"F";"2413";"800";"1803";"8";"0.556";"1.9";"0.749";"- 0.010";"0.433";"- 0.008";"0.447";"- 0.003"
"2014-05-31";"13:22:49";"F";"2414";"1325";"1793";"14";"0.261";"1.5";"0.352";"- 0.003";"0.123";"- 0.002";"0.741";"- 0.002"
"2014-05-31";"13:22:59";"F";"2415";"1497";"1745";"19";"0.142";"1.1";"0.193";"0.031";"0.059";"0.025";"0.837";"0.021"
"2014-05-31";"13:23:09";"F";"2416";"1560";"1702";"29";"0.083";"1.0";"0.114";"0.061";"0.033";"0.051";"0.872";"0.045"
"2014-05-31";"13:23:19";"F";"2417";"1575";"1657";"39";"0.049";"0.8";"0.068";"0.093";"0.020";"0.080";"0.880";"0.071"
"2014-05-31";"13:23:28";"F";"2418";"1568";"1609";"57";"0.025";"0.6";"0.035";"0.126";"0.010";"0.112";"0.876";"0.099"
"2014-05-31";"13:23:38";"F";"2419";"1541";"1556";"77";"0.010";"0.3";"0.014";"0.163";"0.004";"0.150";"0.861";"0.129"
"2014-05-31";"13:23:48";"F";"2420";"1494";"1495";"113";"0.001";"0.0";"0.001";"0.205";"0.000";"0.197";"0.835";"0.164"
"2014-05-31";"13:23:48";"SLCE";"";"Light Curve end ";""
"2014-05-31";"13:24:33";"SLCS";"";"Light Curve start ";""
"2014-05-31";"13:24:33";"REG1";"";"#1: Error: First 3 ETR-Values are not increasing ";""
