"2013-03-07";"12:13:49";"WinControl (rev 714) report file"
"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"";"";"D";"";"Device Nr: #1, Diving-PAM ";""
"2012-12-12";"14:43:19";"SCHS";"";"Chart Start ";""
"2012-12-12";"14:43:20";"F";"2377";"409";"515";"215";"0.206";"18.6"
"2012-12-12";"14:43:30";"F";"2378";"418";"498";"294";"0.161";"19.9"
"2012-12-12";"14:43:40";"F";"2379";"428";"481";"432";"0.110";"20.0"
"2012-12-12";"14:43:50";"F";"2380";"422";"460";"583";"0.083";"20.3"
"2013-03-01";"11:33:07";"C";"";"MI=5;SI=8;SW=0.6;AI=3;AW=0:05;AF=1.00;G=7;D=1;EF=0.84;FO=26;CW=30:00;CI=2;LW=0:10;LI=1;ID=0:05;IW=0:10;DO0.0;DG1.00;LO=0;LG=0.80 ";""
"2013-03-01";"11:33:07";"SLCS";"";"Light Curve start ";""
"2013-03-01";"11:33:07";"REG1";"";"#1: alpha: 0.364, ETRm: 10.326, Ek: 28.354   ( beta: 0.002, ETRmPot: 10.650 ) ";""
"2013-03-01";"11:33:07";"REG2";"";"#1: alpha: 0.289, ETRm: 10.036, Ek: 34.783 ";""
"2013-03-01";"11:33:08";"FO";"2382";"131";"593";"0";"0.779";"0.0"
"2013-03-01";"11:33:16";"F";"2383";"179";"590";"16";"0.697";"4.7"
"2013-03-01";"11:33:26";"F";"2384";"327";"575";"46";"0.431";"8.3"
"2013-03-01";"11:33:36";"F";"2385";"422";"562";"93";"0.249";"9.7"
"2013-03-01";"11:33:46";"F";"2386";"455";"548";"144";"0.170";"10.3"
"2013-03-01";"11:33:56";"F";"2387";"467";"528";"211";"0.116";"10.3"
"2013-03-01";"11:34:06";"F";"2388";"462";"505";"295";"0.085";"10.5"
"2013-03-01";"11:34:16";"F";"2389";"453";"480";"434";"0.056";"10.2"
"2013-03-01";"11:34:25";"F";"2390";"434";"451";"583";"0.038";"9.3"
"2013-03-01";"11:34:25";"SLCE";"";"Light Curve end ";""
"2013-03-01";"11:34:49";"SLCS";"";"Light Curve start ";""
"2013-03-01";"11:34:49";"REG1";"";"#1: alpha: 0.416, ETRm: 9.065, Ek: 21.782   ( beta: 0.000, ETRmPot: 9.083 ) ";""
"2013-03-01";"11:34:49";"REG2";"";"#1: alpha: 0.307, ETRm: 9.019, Ek: 29.345 ";""
"2013-03-01";"11:34:50";"FO";"2391";"149";"487";"0";"0.694";"0.0"
"2013-03-01";"11:34:59";"F";"2392";"166";"479";"16";"0.653";"4.4"
"2013-03-01";"11:35:09";"F";"2393";"258";"457";"46";"0.435";"8.4"
"2013-03-01";"11:35:19";"F";"2394";"336";"437";"93";"0.231";"9.0"
"2013-03-01";"11:35:28";"F";"2395";"352";"414";"144";"0.150";"9.1"
"2013-03-01";"11:35:38";"F";"2396";"355";"396";"211";"0.104";"9.2"
"2013-03-01";"11:35:48";"F";"2397";"350";"377";"295";"0.072";"8.9"
"2013-03-01";"11:35:58";"F";"2398";"346";"362";"434";"0.044";"8.0"
"2013-03-01";"11:36:08";"F";"2399";"337";"351";"583";"0.040";"9.8"
"2013-03-01";"11:36:08";"SLCE";"";"Light Curve end ";""
"2013-03-01";"11:40:54";"SLCS";"";"Light Curve start ";""
"2013-03-01";"11:40:54";"REG1";"";"#1: alpha: 0.363, ETRm: 12.540, Ek: 34.570   ( beta: 0.004, ETRmPot: 13.362 ) ";""
"2013-03-01";"11:40:54";"REG2";"";"#1: alpha: 0.290, ETRm: 12.004, Ek: 41.358 ";""
"2013-03-01";"11:40:55";"FO";"2400";"170";"526";"0";"0.677";"0.0"
"2013-03-01";"11:41:05";"F";"2401";"179";"512";"16";"0.650";"4.4"
"2013-03-01";"11:41:15";"F";"2402";"249";"494";"46";"0.496";"9.6"
"2013-03-01";"11:41:25";"F";"2403";"328";"474";"93";"0.308";"12.0"
"2013-03-01";"11:41:35";"F";"2404";"363";"457";"144";"0.206";"12.5"
"2013-03-01";"11:41:45";"F";"2405";"379";"439";"211";"0.137";"12.1"
"2013-03-01";"11:41:55";"F";"2406";"377";"419";"295";"0.100";"12.4"
"2013-03-01";"11:42:04";"F";"2407";"373";"399";"434";"0.065";"11.8"
"2013-03-01";"11:42:14";"F";"2408";"364";"381";"583";"0.045";"11.0"
"2013-03-01";"11:42:14";"SLCE";"";"Light Curve end ";""
"2013-03-01";"11:43:35";"SLCS";"";"Light Curve start ";""
"2013-03-01";"11:43:35";"REG1";"";"#1: alpha: - , ETRm: - , Ek: -   ( beta: - 0.002, ETRmPot: 13.822 ) ";""
"2013-03-01";"11:43:35";"REG2";"";"#1: alpha: 0.238, ETRm: 14.528, Ek: 61.080 ";""
"2013-03-01";"11:43:36";"FO";"2409";"149";"515";"0";"0.711";"0.0"
"2013-03-01";"11:43:45";"F";"2410";"158";"515";"16";"0.693";"4.7"
"2013-03-01";"11:43:55";"F";"2411";"263";"507";"46";"0.481";"9.3"
"2013-03-01";"11:44:05";"F";"2412";"340";"499";"93";"0.319";"12.5"
"2013-03-01";"11:44:14";"F";"2413";"378";"485";"144";"0.221";"13.4"
"2013-03-01";"11:44:24";"F";"2414";"399";"476";"211";"0.162";"14.4"
"2013-03-01";"11:44:34";"F";"2415";"410";"467";"295";"0.122";"15.1"
"2013-03-01";"11:44:44";"F";"2416";"418";"454";"434";"0.079";"14.4"
"2013-03-01";"11:44:54";"F";"2417";"415";"443";"583";"0.063";"15.4"
"2013-03-01";"11:44:54";"SLCE";"";"Light Curve end ";""
"2013-03-01";"11:50:29";"C";"";"MI=5;SI=8;SW=0.6;AI=3;AW=0:05;AF=1.00;G=7;D=1;EF=0.84;FO=219;CW=30:00;CI=2;LW=0:10;LI=1;ID=0:05;IW=0:10;DO0.0;DG1.00;LO=0;LG=0.80 ";""
"2013-03-01";"11:50:29";"SLCS";"";"Light Curve start ";""
"2013-03-01";"11:50:30";"FO";"2419";"0";"0";"0";"-";"-"
"2013-03-01";"11:50:30";"SLCE";"";"Light Curve end ";""
"2013-03-01";"11:51:07";"C";"";"MI=5;SI=8;SW=0.6;AI=3;AW=0:05;AF=1.00;G=7;D=1;EF=0.84;FO=21;CW=30:00;CI=2;LW=0:10;LI=1;ID=0:05;IW=0:10;DO0.0;DG1.00;LO=0;LG=0.80 ";""
"2013-03-01";"11:51:07";"SLCS";"";"Light Curve start ";""
