lMN,dMN,PlotID,CurveT,ID
2390,2399,Mn_1,Light,2
2388,2387,Mn_1,Light,3
2408,,Mn_2,Light,2
2417,,Mn_2,Light,3
2431,,Mn_3,Light,2
2440,,Mn_3,Light,3
2442,,Mn_5,Light,2
2451,,Mn_5,Light,3
2469,,Mn_7,Light,2
2478,,Mn_7,Light,3
2488,,Mn_8,Light,2
2498,,Mn_8,Light,3
2507,,Mn_10,Light,2
2516,,Mn_10,Light,3
2525,,Mn_11,Light,2
2534,,Mn_11,Light,3
2552,,Mn_12,Light,2
2543,,Mn_12,Light,3
2570,,Mn_13,Light,2
2561,,Mn_13,Light,3
2579,,Mn_17,Light,2
2588,,Mn_17,Light,3
2597,,Mn_18,Light,2
2606,,Mn_18,Light,3
2618,,Mn_21,Light,2
2627,,Mn_21,Light,3
2636,,Mn_22,Light,2
2654,,Mn_22,Light,3
2643,,Mn_23,Light,2
2674,,Mn_23,Light,3
2683,,Mn_25,Light,2
2692,,Mn_25,Light,3
2701,,Mn_28,Light,2
2710,,Mn_28,Light,3
2719,,Mn_29,Light,2
2743,,Mn_31,Light,2
2733,,Mn_31,Light,3
2762,,Mn_32,Light,2
2753,,Mn_32,Light,3
2789,,Mn_33,Light,2
2828,,Mn_33,Light,3
2771,,Mn_34,Light,2
2780,,Mn_34,Light,3
2798,,Mn_35,Light,2
2837,,Mn_35,Light,3
2810,,Mn_36,Light,2
2819,,Mn_36,Light,3
2970,,Gb_1,Light,2
2961,,Gb_1,Light,3
2980,,Gb_2,Light,2
3000,,Gb_2,Light,3
3191,,Gb_4,Light,2
3202,,Gb_4,Light,3
3056,,Gb_5,Light,2
3075,,Gb_5,Light,3
3028,,Gb_6,Light,2
3037,,Gb_6,Light,3
3114,,Gb_7,Light,2
3123,,Gb_7,Light,3
3154,,Gb_11,Light,2
3161,,Gb_11,Light,3
3171,,Gb_13,Light,2
3180,,Gb_13,Light,3
3132,,Gb_14,Light,2
3141,,Gb_14,Light,3
3095,,Gb_17,Light,2
3104,,Gb_17,Light,3
2850,,Gb_18,Light,2
2945,,Gb_18,Light,3
2970,,Gb_23,Light,2
2961,,Gb_23,Light,3
